Element ID,Key
1277168,EntryFrontDoor-T
1277638,EntryRearDoor-T
1290190,EntryRearDoor-T
1329533,EntryDoorBell-T
1288778,EntryGarageDoor-T
1267873,MainMaterial-T
1267966,MainMaterial-T
1268124,MainMaterial-T
1268337,MainMaterial-T
1268522,MainMaterial-T
1268649,MainMaterial-T
1268709,MainMaterial-T
1268882,MainMaterial-T
1268920,MainMaterial-T
1268961,MainMaterial-T
1269024,MainMaterial-T
1269098,MainMaterial-T
1269202,MainMaterial-T
1269240,MainMaterial-T
1273300,MainMaterial-T
1278371,MainMaterial-T
1278450,MainMaterial-T
1278512,MainMaterial-T
1278680,MainMaterial-T
1291499,MainMaterial-T
1291581,MainMaterial-T
1292381,MainMaterial-T
1292496,MainMaterial-T
1294414,MainMaterial-T
1294528,MainMaterial-T
1294620,MainMaterial-T
1294694,MainMaterial-T
1295093,MainMaterial-T
1295349,MainMaterial-T
1295426,MainMaterial-T
1295470,MainMaterial-T
1295739,MainMaterial-T
1296358,MainMaterial-T
1296390,MainMaterial-T
1296505,MainMaterial-T
1296656,MainMaterial-T
1296790,MainMaterial-T
1296928,MainMaterial-T
1297131,MainMaterial-T
1297418,MainMaterial-T
1297570,MainMaterial-T
1297959,MainMaterial-T
1298090,MainMaterial-T
1298875,MainMaterial-T
1298995,MainMaterial-T
2679319,MainMaterial-T
1278984,RoofMaterial-T
1279193,RoofMaterial-T
1279330,RoofMaterial-T
1279628,RoofMaterial-T
1279706,RoofMaterial-T
1281313,RoofMaterial-T
1282516,RoofMaterial-T
1283287,RoofMaterial-T
1283325,RoofMaterial-T
1286140,RoofMaterial-T
1285972,RoofGutter-T
1286274,RoofGutter-T
1327264,EntryDriveway-T
2678602,EntryWalkway-T
