Element ID,Key
1218588,EntryFrontDoor-T
1373667,EntryDoorBell-T
1219348,EntryGarageDoor-T
1189232,MainMaterial-T
1189373,MainMaterial-T
1189538,MainMaterial-T
1189683,MainMaterial-T
1189838,MainMaterial-T
1189877,MainMaterial-T
1189950,MainMaterial-T
1190005,MainMaterial-T
1190100,MainMaterial-T
1190204,MainMaterial-T
1190331,MainMaterial-T
1190491,MainMaterial-T
1190637,MainMaterial-T
1190714,MainMaterial-T
1195340,MainMaterial-T
1195785,MainMaterial-T
1200198,MainMaterial-T
1200575,MainMaterial-T
1200654,MainMaterial-T
1210965,MainMaterial-T
1427471,MainMaterial-T
1427488,MainMaterial-T
1427772,MainMaterial-T
1427797,MainMaterial-T
1427910,MainMaterial-T
1427975,MainMaterial-T
1428082,MainMaterial-T
1428198,MainMaterial-T
1428233,MainMaterial-T
1206357,RoofMaterial-T
1206406,RoofMaterial-T
1206571,RoofMaterial-T
1207421,RoofMaterial-T
1207569,RoofMaterial-T
1209079,RoofMaterial-T
1210096,RoofMaterial-T
1216857,RoofMaterial-T
1227508,RoofGutter-T
1227911,EntryDriveway-T
2294805,EntryWalkway-T
