Element ID,Key
1246796,EntryFrontDoor-T
1246847,EntryRearDoor-T
1246987,EntryRearDoor-T
1351841,EntryDoorBell-T
1330828,EntryGarageDoor-T
1189521,MainMaterial-T
1189581,MainMaterial-T
1189680,MainMaterial-T
1189846,MainMaterial-T
1189932,MainMaterial-T
1190031,MainMaterial-T
1190197,MainMaterial-T
1190292,MainMaterial-T
1190421,MainMaterial-T
1190819,MainMaterial-T
1190913,MainMaterial-T
1204240,MainMaterial-T
1205246,MainMaterial-T
1205391,MainMaterial-T
1223172,MainMaterial-T
1241668,MainMaterial-T
1330789,MainMaterial-T
1331008,MainMaterial-T
1207399,RoofMaterial-T
1212421,RoofMaterial-T
1212548,RoofMaterial-T
1214931,RoofMaterial-T
1220639,RoofMaterial-T
1221867,RoofMaterial-T
1231142,RoofMaterial-T
1249463,RoofMaterial-T
1245775,RoofGutter-T
1250143,RoofGutter-T
2022125,EntryDriveway-T
1261304,EntryWalkway-T
2021509,PorchLight-T
2021619,PorchLight-T
