Element ID,Key
1214349,EntryFrontDoor-T
1216011,EntryRearDoor-T
1214765,EntryRearDoor-T
1359342,EntryDoorBell-T
1216106,EntryGarageDoor-T
1207810,MainMaterial-T
1207902,MainMaterial-T
1207948,MainMaterial-T
1208029,MainMaterial-T
1208229,MainMaterial-T
1208303,MainMaterial-T
1208426,MainMaterial-T
1208566,MainMaterial-T
1208640,MainMaterial-T
1208782,MainMaterial-T
1208877,MainMaterial-T
1208998,MainMaterial-T
1212734,MainMaterial-T
1212741,MainMaterial-T
1218000,RoofMaterial-T
1218339,RoofMaterial-T
1218367,RoofMaterial-T
1218398,RoofMaterial-T
1218719,RoofGutter-T
2829812,EntryDriveway-T
1364430,EntryWalkway-T
1359713,PorchLight-T
1375590,PorchLight-T
2086856,PorchLight-T
