Element ID,Key
1253504,EntryFrontDoor-T
1264123,EntryRearDoor-T
1264204,EntryRearDoor-T
1258107,EntryRearDoor-T
1257844,EntryRearDoor-T
1257872,EntryRearDoor-T
1257923,EntryRearDoor-T
1257788,EntryRearDoor-T
1257988,EntryRearDoor-T
1363488,EntryDoorBell-T
1263152,EntryGarageDoor-T
1263210,EntryGarageDoor-T
1207792,MainMaterial-T
1207882,MainMaterial-T
1207977,MainMaterial-T
1208045,MainMaterial-T
1208118,MainMaterial-T
1208174,MainMaterial-T
1208272,MainMaterial-T
1208347,MainMaterial-T
1208404,MainMaterial-T
1208556,MainMaterial-T
1208696,MainMaterial-T
1208780,MainMaterial-T
1208846,MainMaterial-T
1209008,MainMaterial-T
1209074,MainMaterial-T
1209149,MainMaterial-T
1209276,MainMaterial-T
1209370,MainMaterial-T
1209430,MainMaterial-T
1209545,MainMaterial-T
1217701,MainMaterial-T
1217777,MainMaterial-T
1217879,MainMaterial-T
1218020,MainMaterial-T
1222406,MainMaterial-T
1257190,MainMaterial-T
1261726,MainMaterial-T
1263383,MainMaterial-T
1265216,MainMaterial-T
1248619,RoofMaterial-T
1248663,RoofMaterial-T
1248789,RoofMaterial-T
1249176,RoofMaterial-T
1250284,RoofMaterial-T
1250543,RoofMaterial-T
1284411,RoofGutter-T
1357856,EntryDriveway-T
1357856,EntryWalkway-T
