Element ID,Key
1220108,EntryFrontDoor-T
1230919,EntryRearDoor-T
1319743,EntryDoorBell-T
1227934,EntryGarageDoor-T
1194601,MainMaterial-T
1194603,MainMaterial-T
1194608,MainMaterial-T
1194614,MainMaterial-T
1194615,MainMaterial-T
1194616,MainMaterial-T
1194617,MainMaterial-T
1194618,MainMaterial-T
1194620,MainMaterial-T
1194621,MainMaterial-T
1194622,MainMaterial-T
1194626,MainMaterial-T
1221633,MainMaterial-T
1222096,MainMaterial-T
1222227,MainMaterial-T
1222703,MainMaterial-T
1222876,MainMaterial-T
1223019,MainMaterial-T
1223076,MainMaterial-T
1223963,MainMaterial-T
1224663,MainMaterial-T
1224757,MainMaterial-T
1214788,RoofMaterial-T
1214796,RoofMaterial-T
1214819,RoofMaterial-T
1227494,RoofMaterial-T
1223319,RoofGutter-T
1232486,EntryDriveway-T
1232486,EntryWalkway-T
