Element ID,Key
1223406,EntryFrontDoor-T
1224956,EntryRearDoor-T
1747080,EntryDoorBell-T
1223249,EntryGarageDoor-T
1207765,MainMaterial-T
1207836,MainMaterial-T
1207902,MainMaterial-T
1208066,MainMaterial-T
1208215,MainMaterial-T
1208550,MainMaterial-T
1208664,MainMaterial-T
1208846,MainMaterial-T
1213275,MainMaterial-T
1213567,MainMaterial-T
1214011,MainMaterial-T
1214166,MainMaterial-T
1219276,RoofMaterial-T
1219338,RoofMaterial-T
1219668,RoofMaterial-T
1220088,RoofMaterial-T
1220146,RoofMaterial-T
1221187,RoofMaterial-T
1221355,RoofMaterial-T
1221532,RoofMaterial-T
1226347,RoofGutter-T
1226349,RoofGutter-T
1715993,EntryDriveway-T
2308930,EntryWalkway-T
1726880,PorchLight-T
2308649,PorchLight-T
