Element ID,Key
3270621,EntryFrontDoor-T
3270756,EntryRearDoor-T
3270700,EntryRearDoor-T
3339705,EntryDoorBell-T
3268581,EntryGarageDoor-T
3265311,MainMaterial-T
3265364,MainMaterial-T
3265522,MainMaterial-T
3265664,MainMaterial-T
3265777,MainMaterial-T
3265937,MainMaterial-T
3266022,MainMaterial-T
3266086,MainMaterial-T
3266163,MainMaterial-T
3266221,MainMaterial-T
3266301,MainMaterial-T
3266424,MainMaterial-T
3357092,MainMaterial-T
3374724,MainMaterial-T
3395157,MainMaterial-T
3395229,MainMaterial-T
3400615,MainMaterial-T
3401882,MainMaterial-T
3403069,MainMaterial-T
3326301,RoofMaterial-T
3326468,RoofMaterial-T
3331483,RoofMaterial-T
3334460,RoofMaterial-T
3334486,RoofMaterial-T
3331511,RoofGutter-T
3389033,EntryDriveway-T
3389290,EntryWalkway-T
