Element ID,Key
1222228,EntryFrontDoor-T
1223402,EntryRearDoor-T
1320774,EntryDoorBell-T
1189304,MainMaterial-T
1189774,MainMaterial-T
1189868,MainMaterial-T
1189915,MainMaterial-T
1190085,MainMaterial-T
1190335,MainMaterial-T
1191996,MainMaterial-T
1196772,MainMaterial-T
2604291,BaseMaterial-T
2604292,BaseMaterial-T
2604293,BaseMaterial-T
2604294,BaseMaterial-T
2604295,BaseMaterial-T
2604296,BaseMaterial-T
2604297,BaseMaterial-T
2604298,BaseMaterial-T
2604299,BaseMaterial-T
2604300,BaseMaterial-T
2604301,BaseMaterial-T
1203576,RoofMaterial-T
1203631,RoofMaterial-T
1204260,RoofMaterial-T
1204607,RoofMaterial-T
1207493,RoofMaterial-T
1214939,RoofGutter-T
1214944,RoofGutter-T
1370406,EntryDriveway-T
1320711,EntryWalkway-T
1261290,AccentColor-T
1261874,AccentColor-T
1263310,AccentColor-T
1263590,AccentColor-T
1296990,AccentColor-T
1298310,AccentColor-T
1300503,AccentColor-T
1327241,PorchLight-T
1360293,PorchLight-T
2274760,PorchLight-T
