Element ID,Key
1238394,EntryFrontDoor-T
1241738,EntryRearDoor-T
1239483,EntryRearDoor-T
1240267,EntryRearDoor-T
1368832,EntryDoorBell-T
1368931,EntryDoorBell-T
1231592,EntryGarageDoor-T
1189152,MainMaterial-T
1189223,MainMaterial-T
1189343,MainMaterial-T
1189411,MainMaterial-T
1190769,MainMaterial-T
1191077,MainMaterial-T
1191397,MainMaterial-T
1192020,MainMaterial-T
1192103,MainMaterial-T
1192366,MainMaterial-T
1192547,MainMaterial-T
1193017,MainMaterial-T
1194107,MainMaterial-T
1194451,MainMaterial-T
1216137,RoofMaterial-T
1216227,RoofMaterial-T
1218284,RoofMaterial-T
1218614,RoofMaterial-T
1222487,RoofMaterial-T
1222758,RoofMaterial-T
1223910,RoofMaterial-T
1225851,RoofMaterial-T
1238250,RoofGutter-T
1244033,EntryDriveway-T
2902136,EntryWalkway-T
2229788,PorchLight-T
2229903,PorchLight-T
