Element ID,Key
1390472,EntryFrontDoor-T
1894880,EntryDoorBell-T
1399795,EntryGarageDoor-T
1387086,MainMaterial-T
1387151,MainMaterial-T
1387186,MainMaterial-T
1387242,MainMaterial-T
1387329,MainMaterial-T
1387408,MainMaterial-T
1387442,MainMaterial-T
1387516,MainMaterial-T
1388800,MainMaterial-T
1402201,MainMaterial-T
1402607,MainMaterial-T
1484547,MainMaterial-T
1896229,MainMaterial-T
1896230,MainMaterial-T
1397796,RoofMaterial-T
1397856,RoofMaterial-T
1397891,RoofMaterial-T
1397952,RoofMaterial-T
1398363,RoofMaterial-T
1500582,RoofMaterial-T
1501605,RoofMaterial-T
1496121,RoofGutter-T
1496123,RoofGutter-T
1496124,RoofGutter-T
1502928,RoofGutter-T
