Element ID,Key
1192900,EntryFrontDoor-T
1192960,EntryRearDoor-T
1629932,EntryDoorBell-T
1193552,EntryGarageDoor-T
1189342,MainMaterial-T
1189474,MainMaterial-T
1189607,MainMaterial-T
1189658,MainMaterial-T
1189738,MainMaterial-T
1189863,MainMaterial-T
1189931,MainMaterial-T
1190025,MainMaterial-T
1190077,MainMaterial-T
1190182,MainMaterial-T
1190535,MainMaterial-T
1190682,MainMaterial-T
1190761,MainMaterial-T
1195176,MainMaterial-T
1207214,RoofMaterial-T
1207451,RoofMaterial-T
1208301,RoofMaterial-T
1208695,RoofMaterial-T
1209242,RoofMaterial-T
1209497,RoofMaterial-T
1210204,RoofGutter-T
1504036,RoofGutter-T
1566573,EntryDriveway-T
1962897,EntryWalkway-T
1627094,PorchLight-T
1627295,PorchLight-T
1960947,PorchLight-T
4357877,PorchLight-T
4357973,PorchLight-T
