Element ID,Key
1226648,EntryFrontDoor-T
1227787,EntryRearDoor-T
1847732,EntryDoorBell-T
1226971,EntryGarageDoor-T
1189197,MainMaterial-T
1189256,MainMaterial-T
1189310,MainMaterial-T
1189395,MainMaterial-T
1189554,MainMaterial-T
1189782,MainMaterial-T
1190270,MainMaterial-T
1190447,MainMaterial-T
1190633,MainMaterial-T
1190934,MainMaterial-T
1191051,MainMaterial-T
1191240,MainMaterial-T
1191451,MainMaterial-T
1191681,MainMaterial-T
1191708,MainMaterial-T
1191860,MainMaterial-T
1195687,MainMaterial-T
1215474,RoofMaterial-T
1215557,RoofMaterial-T
1215876,RoofMaterial-T
1216310,RoofMaterial-T
1226083,RoofGutter-T
1864692,EntryDriveway-T
2222637,EntryWalkway-T
1863240,PorchLight-T
2222074,PorchLight-T
