Element ID,Key
1213049,EntryFrontDoor-T
1213092,EntryRearDoor-T
1292865,EntryDoorBell-T
1212959,EntryGarageDoor-T
1189199,MainMaterial-T
1189310,MainMaterial-T
1189361,MainMaterial-T
1189420,MainMaterial-T
1193154,MainMaterial-T
1193266,MainMaterial-T
1193324,MainMaterial-T
1196162,MainMaterial-T
1196401,MainMaterial-T
1201802,RoofMaterial-T
1201997,RoofMaterial-T
1204051,RoofGutter-T
1204065,RoofGutter-T
1215789,EntryDriveway-T
2138910,EntryWalkway-T
1668300,PorchLight-T
1668445,PorchLight-T
2137600,PorchLight-T
2137880,PorchLight-T
