Element ID,Key
1203364,EntryFrontDoor-T
1210179,EntryRearDoor-T
1339849,EntryDoorBell-T
1203742,EntryGarageDoor-T
1189154,MainMaterial-T
1189201,MainMaterial-T
1189309,MainMaterial-T
1189517,MainMaterial-T
1189594,MainMaterial-T
1195583,MainMaterial-T
1195674,MainMaterial-T
1196097,MainMaterial-T
1196179,MainMaterial-T
1197826,MainMaterial-T
1199424,MainMaterial-T
1202922,MainMaterial-T
1203284,MainMaterial-T
1204647,MainMaterial-T
1208909,MainMaterial-T
1210035,MainMaterial-T
1210153,MainMaterial-T
2059745,MainMaterial-T
1200508,RoofMaterial-T
1200722,RoofMaterial-T
1211455,RoofGutter-T
1328477,EntryDriveway-T
2373082,EntryWalkway-T
2061445,PorchLight-T
2372962,PorchLight-T
