Element ID,Key
1281115,EntryFrontDoor-T
1284360,EntryRearDoor-T
1617714,EntryDoorBell-T
1280912,EntryGarageDoor-T
1281019,EntryGarageDoor-T
1268246,MainMaterial-T
1268270,MainMaterial-T
1268320,MainMaterial-T
1268377,MainMaterial-T
1268594,MainMaterial-T
1268620,MainMaterial-T
1268688,MainMaterial-T
1268812,MainMaterial-T
1268925,MainMaterial-T
1269000,MainMaterial-T
1269143,MainMaterial-T
1269289,MainMaterial-T
1269388,MainMaterial-T
1269539,MainMaterial-T
1269571,MainMaterial-T
1269671,MainMaterial-T
1269733,MainMaterial-T
1269766,MainMaterial-T
1269816,MainMaterial-T
1269864,MainMaterial-T
1287055,MainMaterial-T
1287961,RoofMaterial-T
1288340,RoofMaterial-T
1288663,RoofMaterial-T
1289329,RoofMaterial-T
1289533,RoofMaterial-T
1289881,RoofMaterial-T
1290198,RoofMaterial-T
1290781,RoofMaterial-T
1292471,RoofMaterial-T
1293693,RoofMaterial-T
1294423,RoofMaterial-T
1294654,RoofMaterial-T
1294755,RoofMaterial-T
1296829,RoofMaterial-T
5097940,RoofGutter-T
5098037,RoofGutter-T
5098039,RoofGutter-T
5098040,RoofGutter-T
1665465,EntryDriveway-T
2890672,EntryWalkway-T
1601493,PorchLight-T
1601590,PorchLight-T
1698411,PorchLight-T
1698648,PorchLight-T
2891929,PorchLight-T
