Element ID,Key
1299220,EntryFrontDoor-T
2012244,EntryRearDoor-T
2020994,EntryDoorBell-T
1298806,EntryGarageDoor-T
1298982,EntryGarageDoor-T
1259490,MainMaterial-T
1259607,MainMaterial-T
1259752,MainMaterial-T
1259873,MainMaterial-T
1260024,MainMaterial-T
1260162,MainMaterial-T
1260774,MainMaterial-T
1260939,MainMaterial-T
1261083,MainMaterial-T
1293770,MainMaterial-T
1293950,MainMaterial-T
1305854,MainMaterial-T
1306043,MainMaterial-T
1309015,MainMaterial-T
1311317,MainMaterial-T
1311548,MainMaterial-T
1312346,MainMaterial-T
2004704,MainMaterial-T
2013600,MainMaterial-T
2013616,MainMaterial-T
1287877,RoofMaterial-T
1287960,RoofMaterial-T
1288570,RoofMaterial-T
1288648,RoofMaterial-T
1288757,RoofMaterial-T
1288822,RoofMaterial-T
1289901,RoofMaterial-T
1291666,RoofMaterial-T
1291756,RoofMaterial-T
2003126,RoofGutter-T
2021216,EntryDriveway-T
2021216,EntryWalkway-T
