Element ID,Key
1344186,EntryFrontDoor-T
1344190,EntryRearDoor-T
1344189,EntryRearDoor-T
1666314,EntryDoorBell-T
1344187,EntryGarageDoor-T
1344188,EntryGarageDoor-T
1278346,MainMaterial-T
1278534,MainMaterial-T
1278672,MainMaterial-T
1278746,MainMaterial-T
1278840,MainMaterial-T
1278931,MainMaterial-T
1279654,MainMaterial-T
1279753,MainMaterial-T
1279866,MainMaterial-T
1279936,MainMaterial-T
1280027,MainMaterial-T
1280063,MainMaterial-T
1280103,MainMaterial-T
1280262,MainMaterial-T
1280311,MainMaterial-T
1280361,MainMaterial-T
1280424,MainMaterial-T
1280486,MainMaterial-T
1281499,MainMaterial-T
1301711,MainMaterial-T
1301835,MainMaterial-T
1326922,MainMaterial-T
1327058,MainMaterial-T
1328248,MainMaterial-T
1328563,MainMaterial-T
1344047,MainMaterial-T
1344048,MainMaterial-T
1344071,MainMaterial-T
1344072,MainMaterial-T
1344073,MainMaterial-T
1328861,RoofMaterial-T
1330438,RoofMaterial-T
1331234,RoofMaterial-T
1668899,RoofMaterial-T
1669230,RoofMaterial-T
1334264,RoofGutter-T
1669454,RoofGutter-T
1669970,RoofGutter-T
