Element ID,Key
1198521,EntryFrontDoor-T
1197122,EntryRearDoor-T
1620655,EntryDoorBell-T
1208480,EntryGarageDoor-T
1193959,MainMaterial-T
1194045,MainMaterial-T
1194194,MainMaterial-T
1194418,MainMaterial-T
1194547,MainMaterial-T
1194635,MainMaterial-T
1194721,MainMaterial-T
1194758,MainMaterial-T
1195089,MainMaterial-T
1195246,MainMaterial-T
1195324,MainMaterial-T
1207859,MainMaterial-T
1213234,MainMaterial-T
1213435,MainMaterial-T
1213809,MainMaterial-T
1213979,MainMaterial-T
1292419,MainMaterial-T
1366378,MainMaterial-T
1366782,MainMaterial-T
1609162,MainMaterial-T
1208061,RoofMaterial-T
1208090,RoofMaterial-T
1212512,RoofMaterial-T
1212855,RoofMaterial-T
1213076,RoofGutter-T
1270819,EntryDriveway-T
1270933,EntryWalkway-T
1593282,PorchLight-T
2338055,PorchLight-T
