Element ID,Key
1195152,EntryFrontDoor-T
1195081,EntryRearDoor-T
1285193,EntryDoorBell-T
1197668,EntryGarageDoor-T
1189339,MainMaterial-T
1189415,MainMaterial-T
1189514,MainMaterial-T
1189577,MainMaterial-T
1189714,MainMaterial-T
1189813,MainMaterial-T
1189925,MainMaterial-T
1190139,MainMaterial-T
1190257,MainMaterial-T
1190338,MainMaterial-T
1190429,MainMaterial-T
1190663,MainMaterial-T
1195582,MainMaterial-T
1195862,MainMaterial-T
1195993,MainMaterial-T
1203212,MainMaterial-T
1325167,MainMaterial-T
1201681,RoofMaterial-T
1201744,RoofMaterial-T
1201770,RoofMaterial-T
1201819,RoofMaterial-T
1204859,RoofGutter-T
1267105,EntryDriveway-T
1844043,EntryWalkway-T
1284896,PorchLight-T
1285098,PorchLight-T
1285132,PorchLight-T
